step,loss,recall_accuracy,gradient_norm
1,1.387199878692627,0.25,0.45484521985054016
2,1.4237879514694214,0.1875,1.0774147510528564
3,1.4006620645523071,0.1875,0.7857009172439575
4,1.3866392374038696,0.25,0.5384674668312073
5,1.420831322669983,0.2291666716337204,1.0203096866607666
6,1.3663105964660645,0.375,0.6487858295440674
7,1.3868657350540161,0.3333333432674408,1.1088718175888062
8,1.384426236152649,0.3125,0.502002477645874
9,1.3692690134048462,0.2291666716337204,0.8634517192840576
10,1.423647403717041,0.1875,0.9702751040458679
11,1.3976035118103027,0.2708333432674408,0.6077824831008911
12,1.3682875633239746,0.4166666567325592,0.9057419896125793
13,1.4012280702590942,0.2083333283662796,0.7857967615127563
14,1.3819689750671387,0.2291666716337204,0.5118047595024109
15,1.3820723295211792,0.2083333283662796,0.5232508182525635
16,1.3750954866409302,0.375,0.6450924277305603
17,1.3659154176712036,0.3958333432674408,0.3487531542778015
18,1.3507219552993774,0.4791666567325592,0.5950314402580261
19,1.3484283685684204,0.375,1.0256491899490356
20,1.326724886894226,0.4375,0.3781273663043976
21,1.382635474205017,0.3958333432674408,1.4081106185913086
22,1.3060270547866821,0.4375,1.0353175401687622
23,1.302754282951355,0.3958333432674408,1.1142150163650513
24,1.2426999807357788,0.4166666567325592,1.1639050245285034
25,1.301608681678772,0.3125,1.6677509546279907
26,1.0460360050201416,0.5833333134651184,0.7894552946090698
27,1.1915051937103271,0.4583333432674408,0.7848262786865234
28,1.203308343887329,0.4583333432674408,1.2405697107315063
29,1.1636019945144653,0.5,1.2675501108169556
30,1.1606379747390747,0.3958333432674408,1.0736695528030396
31,1.1232831478118896,0.5,1.2018321752548218
32,1.1699365377426147,0.3958333432674408,0.8612461090087891
33,1.0458961725234985,0.5416666865348816,0.9016024470329285
34,0.9469349384307861,0.5833333134651184,0.7269934415817261
35,1.1090134382247925,0.5,1.4528827667236328
36,1.1777548789978027,0.4583333432674408,0.9034109115600586
37,1.063196063041687,0.5,1.3800872564315796
38,1.1566156148910522,0.3958333432674408,1.2258042097091675
39,1.0179319381713867,0.5625,0.6878621578216553
40,1.1001523733139038,0.5,0.9875324964523315
41,1.0676538944244385,0.5416666865348816,1.2944748401641846
42,0.8756126761436462,0.6458333134651184,0.9573488235473633
43,1.0070538520812988,0.4791666567325592,0.5330721139907837
44,1.050727367401123,0.4791666567325592,1.1605961322784424
45,0.9038076400756836,0.5416666865348816,0.585127055644989
46,1.0049396753311157,0.5,1.8221038579940796
47,0.9707074165344238,0.5625,1.2880563735961914
48,1.061768651008606,0.4583333432674408,2.198493480682373
49,0.9114317297935486,0.5833333134651184,0.9607633352279663
50,1.0690137147903442,0.4583333432674408,0.9908108115196228
51,0.9619243144989014,0.5416666865348816,1.2428890466690063
52,1.1028517484664917,0.4375,1.6907665729522705
53,0.9509038925170898,0.5208333134651184,1.3433778285980225
54,1.0226610898971558,0.5,1.163851022720337
55,0.9776720404624939,0.5416666865348816,1.023633360862732
56,0.997271716594696,0.4583333432674408,0.9187452793121338
57,0.9593228697776794,0.5416666865348816,1.6826016902923584
58,1.0196868181228638,0.5,1.4477821588516235
59,0.8001994490623474,0.625,0.8486368060112
60,0.935295045375824,0.5416666865348816,0.7511986494064331
61,0.803487241268158,0.5833333134651184,0.7195660471916199
62,0.9149615168571472,0.5416666865348816,0.4532209634780884
63,0.9804820418357849,0.5,0.6235420107841492
64,0.8432533740997314,0.6041666865348816,0.6332720518112183
65,0.9527378678321838,0.5,0.8152984976768494
66,0.9440323710441589,0.5416666865348816,0.7681631445884705
67,0.9041493535041809,0.5625,0.5328250527381897
68,0.8686532974243164,0.6041666865348816,0.7476637959480286
69,0.872814953327179,0.5625,0.6729255318641663
70,0.9363973736763,0.5416666865348816,0.6658064126968384
71,0.9052200317382812,0.5416666865348816,0.6357291340827942
72,0.8857066631317139,0.5416666865348816,1.6144020557403564
73,0.763820469379425,0.625,0.47609493136405945
74,1.0506165027618408,0.4583333432674408,1.1698561906814575
75,0.9081099033355713,0.5208333134651184,0.6830199360847473
76,0.8888750672340393,0.5625,0.39850783348083496
77,0.8147198557853699,0.5833333134651184,0.3997446596622467
78,0.7429074645042419,0.6458333134651184,0.34414055943489075
79,0.8686241507530212,0.5833333134651184,1.1124669313430786
80,0.9361091256141663,0.5416666865348816,1.0647354125976562
81,0.8591259121894836,0.5833333134651184,0.9301137328147888
82,0.8737131953239441,0.5833333134651184,0.5007487535476685
83,0.8912931084632874,0.5625,0.6871960163116455
84,1.0173859596252441,0.4791666567325592,1.055915355682373
85,0.9542967677116394,0.5208333134651184,0.8383390307426453
86,1.0115817785263062,0.4583333432674408,1.0241094827651978
87,0.746070146560669,0.6458333134651184,0.6302723288536072
88,0.816293478012085,0.6041666865348816,0.7196658849716187
89,0.8177490234375,0.5833333134651184,1.0122172832489014
90,0.8027957081794739,0.6041666865348816,0.5096725821495056
91,0.8135192394256592,0.6041666865348816,1.0543997287750244
92,0.9103555679321289,0.5416666865348816,0.6462125778198242
93,0.8601991534233093,0.5625,0.6374009847640991
94,0.8830366730690002,0.5625,0.7423924803733826
95,0.9543972611427307,0.5,1.016127109527588
96,0.8294593691825867,0.5833333134651184,0.7303251028060913
97,0.8704779148101807,0.5833333134651184,0.9052941203117371
98,0.9231287837028503,0.5416666865348816,0.8078015446662903
99,0.8527870178222656,0.6041666865348816,0.8307458162307739
100,0.7894724011421204,0.625,0.44325146079063416
101,0.8337246775627136,0.5625,1.2470321655273438
102,0.7396748661994934,0.6666666865348816,1.3167253732681274
103,0.8261426091194153,0.5833333134651184,0.9401611685752869
104,0.8271463513374329,0.6041666865348816,0.9052907228469849
105,0.8977861404418945,0.5625,0.6536921262741089
106,0.8598080277442932,0.5625,0.9637451171875
107,0.8728432059288025,0.5416666865348816,0.9953895211219788
108,0.9026751518249512,0.5208333134651184,1.9426177740097046
109,0.8989402651786804,0.5416666865348816,1.1669620275497437
110,0.9849345684051514,0.4791666567325592,1.0062172412872314
111,0.8462614417076111,0.5833333134651184,0.8709688782691956
112,0.8050074577331543,0.5833333134651184,1.379657506942749
113,0.9435834884643555,0.4791666567325592,1.6761256456375122
114,0.8508954048156738,0.5833333134651184,1.0342057943344116
115,0.841292679309845,0.5833333134651184,0.5635420083999634
116,0.8608787059783936,0.5625,0.7733826041221619
117,0.9133825302124023,0.5416666865348816,1.8899428844451904
118,0.801171064376831,0.6041666865348816,1.5888398885726929
119,0.8085896968841553,0.5833333134651184,0.5401986837387085
120,0.8572203516960144,0.5625,1.318268060684204
121,0.9124563336372375,0.5,0.915732204914093
122,0.8392096161842346,0.5833333134651184,0.46849575638771057
123,0.884718656539917,0.5208333134651184,0.711101233959198
124,0.9168649315834045,0.5208333134651184,1.6113865375518799
125,0.6248759627342224,0.7083333134651184,0.5090891122817993
126,0.796427309513092,0.6458333134651184,0.8290039896965027
127,0.8843417167663574,0.5625,0.9349685907363892
128,0.8399467468261719,0.5625,0.9291170835494995
129,0.7688338756561279,0.625,0.5000331997871399
130,0.8098966479301453,0.5625,0.7703064680099487
131,0.8666959404945374,0.5416666865348816,0.8343856334686279
132,0.9795429706573486,0.4583333432674408,1.2635425329208374
133,1.0393319129943848,0.3958333432674408,1.0672167539596558
134,0.9478798508644104,0.4791666567325592,0.6245071887969971
135,0.8494003415107727,0.5833333134651184,1.3262302875518799
136,0.8283863067626953,0.5625,1.3670135736465454
137,0.9306831359863281,0.5416666865348816,1.036511778831482
138,0.8377111554145813,0.5833333134651184,1.467023491859436
139,0.8035387396812439,0.5416666865348816,0.8477675318717957
140,0.729998767375946,0.6458333134651184,0.5874928832054138
141,0.7686751484870911,0.5833333134651184,0.8599289655685425
142,0.8117569088935852,0.6041666865348816,0.7428123950958252
143,0.851783275604248,0.625,1.0150493383407593
144,0.8492818474769592,0.5416666865348816,1.015427827835083
145,0.8350386023521423,0.5625,1.147208571434021
146,0.918703556060791,0.5416666865348816,0.7104222178459167
147,0.7106247544288635,0.6666666865348816,0.6718055605888367
148,0.7359256744384766,0.6458333134651184,0.5352504849433899
149,0.6760408282279968,0.6458333134651184,0.43550145626068115
150,0.8265034556388855,0.5625,1.4484606981277466
151,0.810932457447052,0.5833333134651184,0.9031932950019836
152,0.6233720779418945,0.7291666865348816,0.5301265120506287
153,0.865056037902832,0.5,1.493307113647461
154,0.7113737463951111,0.6666666865348816,1.248104453086853
155,0.7717032432556152,0.625,1.239668369293213
156,0.748272180557251,0.6458333134651184,0.6861439347267151
157,0.7514138221740723,0.625,1.1416568756103516
